train_start,train_end,test_start,test_end,return_pct,max_dd_pct,trades,win_rate_pct,sharpe,sortino
2020-01-02,2021-01-01,2021-01-01,2021-06-30,-0.5473327554321061,-6.286380978393535,1,48.78048780487805,-0.08244749891056916,-0.08340853030465356
2020-09-18,2021-09-18,2021-09-18,2022-03-17,-1.5411497486984005,-7.347248254811442,1,44.44444444444444,-0.25900083008148295,-0.3788873612350083
2021-06-08,2022-06-08,2022-06-08,2022-12-05,-1.191646680820524,-7.174408729730746,1,52.94117647058824,-0.09449336292607514,-0.1299525739452941
2022-02-23,2023-02-23,2023-02-23,2023-08-22,-4.503404693603519,-5.576303702945549,1,35.0,-2.229913674202988,-0.9865359013461329
